run_tag,trial,mode,task_id,task_type,category,question,ok,answer,score,format_ok,latency_sec,error
modified,1,self_review,K1,keywords,terminology,什么是EPS？,True,EPS（每股收益）是衡量公司盈利能力的重要财务指标，计算公式为净利润除以发行在外的普通股股数。,1.0,1.0,4.0257439613342285,
modified,1,self_review,K2,keywords,terminology,什么是自由现金流（FCF）？,True,自由现金流（FCF）是企业经营活动产生的现金流扣除维持现有资产和必要投资所需的资本支出后，可供股东和债权人自由支配的现金。它反映了企业在满足再投资需求后，实际可分配给投资者的现金能力，是评估企业财务健康、灵活性和估值的关键指标。计算公式通常为：FCF = 营业现金流 - 资本支出。,0.0,1.0,8.492481708526611,
modified,1,self_review,K3,keywords,risk,什么是流动性风险？,True,流动性风险是指资产在市场上无法以合理价格迅速变现或平仓的风险，通常与市场交易量不足或价格波动剧烈相关。,0.0,1.0,5.642674684524536,
modified,1,self_review,K4,keywords,portfolio,什么是分散化投资？,True,分散化投资是通过多元化配置降低风险的投资策略。,0.5,1.0,6.0102152824401855,
modified,1,self_review,N1,numeric,calculation,某股票价格100元，每股收益5元，P/E是多少？只输出数字。,True,20,1.0,1.0,2.6042656898498535,
modified,1,self_review,N2,numeric,calculation,债券面值1000，票息率5%，一年票息是多少？只输出数字。,True,50,1.0,1.0,2.02071213722229,
modified,1,self_review,N3,numeric,calculation,资产组合预期收益率：60%*8% + 40%*4%，结果是多少（百分比）？只输出数字。,True,6.4,1.0,1.0,2.0715832710266113,
modified,1,self_review,N4,numeric,calculation,年初净值1.00，年末1.08，年化收益率是多少（百分比）？只输出数字。,True,8,1.0,1.0,2.057741165161133,
modified,1,self_review,L1,label,classification,情境：通胀高于目标、经济过热。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,B,1.0,1.0,1.6662147045135498,
modified,1,self_review,L2,label,classification,情境：经济衰退且通胀回落。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,A,1.0,1.0,3.5146243572235107,
modified,1,self_review,L3,label,classification,资产价格对利率上升最敏感的一般是 A长期债券 B现金 C短债。只输出A/B/C。,True,A,1.0,1.0,2.9685075283050537,
modified,1,self_review,L4,label,classification,若组合beta=1.3，通常意味着相对市场 A波动更大 B波动更小 C无关。只输出A/B/C。,True,A,1.0,1.0,2.4613113403320312,
modified,2,self_review,K1,keywords,terminology,什么是EPS？,True,EPS（每股收益）是衡量公司盈利能力的重要指标，计算公式为：归属于普通股股东的净利润除以发行在外的普通股加权平均数。,1.0,1.0,4.961882829666138,
modified,2,self_review,K2,keywords,terminology,什么是自由现金流（FCF）？,True,自由现金流（FCF）是企业经营活动产生的现金流扣除维持现有资产和必要投资所需的资本支出后，可供股东和债权人自由支配的现金。它反映了企业在维持必要运营和投资后，实际可用于分配、偿债或再投资的现金能力。,0.0,1.0,5.143768548965454,
modified,2,self_review,K3,keywords,risk,什么是流动性风险？,True,流动性风险是指金融机构无法及时以合理成本获得充足资金，以应对资产增长或支付到期债务的风险。,0.0,1.0,4.241395473480225,
modified,2,self_review,K4,keywords,portfolio,什么是分散化投资？,True,分散化投资是通过将资金分配到不同资产类别、行业、地区或证券，以降低整体投资组合风险的投资策略。,1.0,1.0,4.9535441398620605,
modified,2,self_review,N1,numeric,calculation,某股票价格100元，每股收益5元，P/E是多少？只输出数字。,True,20,1.0,1.0,3.4018044471740723,
modified,2,self_review,N2,numeric,calculation,债券面值1000，票息率5%，一年票息是多少？只输出数字。,True,50,1.0,1.0,3.307142496109009,
modified,2,self_review,N3,numeric,calculation,资产组合预期收益率：60%*8% + 40%*4%，结果是多少（百分比）？只输出数字。,True,6.4,1.0,1.0,5.445711851119995,
modified,2,self_review,N4,numeric,calculation,年初净值1.00，年末1.08，年化收益率是多少（百分比）？只输出数字。,True,8,1.0,1.0,3.8313543796539307,
modified,2,self_review,L1,label,classification,情境：通胀高于目标、经济过热。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,B,1.0,1.0,2.977508544921875,
modified,2,self_review,L2,label,classification,情境：经济衰退且通胀回落。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,A,1.0,1.0,3.415651559829712,
modified,2,self_review,L3,label,classification,资产价格对利率上升最敏感的一般是 A长期债券 B现金 C短债。只输出A/B/C。,True,A,1.0,1.0,2.321788787841797,
modified,2,self_review,L4,label,classification,若组合beta=1.3，通常意味着相对市场 A波动更大 B波动更小 C无关。只输出A/B/C。,True,A,1.0,1.0,1.9190363883972168,
